step,x1_real,x2_real,u_real,x1_ref
257,0.7454244,1.0291493,0.8343808,0.8595898241783433
258,0.75376177,1.3165823,0.92875236,0.9723934722009374
259,0.8157904,1.1707573,0.9374994,1.081281634911195
260,0.7954715,1.1069903,1.0281523,1.1858158581092808
261,0.911511,1.3515736,1.0266536,1.2855752193730785
262,0.99188584,1.4431211,1.0398625,1.380158022964224
263,0.8289024,1.4015913,0.9802407,1.4691834173150666
264,0.88596344,1.492059,1.0662227,1.5522929285835136
265,0.9168931,1.4455209,1.124116,1.6291519041006715
266,0.9887574,1.3818415,1.1702068,1.6994508598990288
267,1.0048231,1.5901631,1.164892,1.7629067268951641
268,1.0084305,1.5316299,1.2332549,1.8192639907090367
269,1.1449816,1.7283071,1.1131424,1.8682957205302133
270,1.0062371,1.6533844,1.1827438,1.9098044828881477
271,1.0536058,1.4594492,1.2266331,1.9436231366470833
272,1.0618045,1.5480222,1.3241478,1.969615506024416
273,1.1132128,1.8191819,1.2709426,1.9876769289225082
274,1.1678163,1.752794,1.2783837,1.997734678366016
275,1.0565569,1.7479657,1.3264275,1.9997482553477501
276,1.0739894,1.7706795,1.279143,1.9937095519038848
277,1.1819471,1.6326891,1.311026,1.9796428837618654
278,1.1961216,1.6584579,1.3592486,1.9576048924295575
279,1.1493902,1.8328338,1.3738887,1.927684317119884
280,1.2254704,1.5337746,1.2698629,1.890001637429337
281,1.0944375,1.5610005,1.4038152,1.8447085882091627
282,1.1986729,1.7839924,1.3564594,1.7919875485826717
283,1.2693475,1.9345514,1.413367,1.732050807568877
284,1.2869853,1.9080034,1.3297434,1.6651397092695428
285,1.239017,1.7988037,1.3571659,1.591523681061664
286,1.2281156,2.05913,1.3921518,1.5114991487085165
287,1.2834526,1.8817909,1.3261423,1.4253883427577254
288,1.2412556,1.7559607,1.2511957,1.3335380010325835
289,1.1551718,1.7153726,1.2236013,1.2363179724412101
290,1.1933514,1.7264111,1.1261535,1.1341197277255417
291,1.0573908,1.5939945,1.0583968,1.0273547831468126
292,1.0373863,1.406407,0.93740547,0.916453043454821
293,0.80745137,1.3241948,0.78310865,0.8018610708132272
294,0.70029545,1.1043341,0.66722935,0.6840402866513378
295,0.6032808,0.9472079,0.5164944,0.5634651136828593
296,0.6163783,0.87329674,0.39575696,0.4406210655730816
297,0.47212708,0.5480739,0.21929972,0.3160027919466998
298,0.2796441,0.2271554,0.09223241,0.19011208660836487
299,0.12359401,0.06978105,-0.038917046,0.06345586699613531
300,-0.033873152,-0.053260922,-0.22052018,-0.06345586699613572
